Ticker,Researched_Date,Lowest_Price,Lowest_Date,Highest_Price,Highest_Date,Day_After_Price,Day_After_Date
XTKG,2024-01-26,0.096000001,2024-11-01,2.9,2024-11-14,0.127,2024-11-15
BDSX,2024-01-26,1.955,2024-01-26,2.21,2024-02-05,2.02,2024-02-06
VTGN,2024-01-26,3.91,2024-03-14,5.74,2024-04-04,5.04,2024-04-05
FOXO,2024-02-23,0.13,2024-10-31,1.3,2024-11-12,0.92000002,2024-11-13
HIMX,2024-02-23,4.8,2024-04-19,9.8,2024-12-12,8.59,2024-12-13
BBAI,2024-02-23,1.165,2024-08-05,5.2,2024-12-31,4.52,2025-01-02
BFRG,2024-02-23,3.81,2024-02-23,5.52,2024-02-27,4.645,2024-02-28
PRZO,2024-02-23,0.49000001,2024-08-21,3.16,2024-12-27,2.44,2024-12-30
ARBE,2024-03-18,1.76,2024-03-20,2.57,2024-03-22,2.19,2024-03-26
AEP,2024-03-18,79.16,2024-04-16,105.18,2024-09-16,104.21,2024-09-17
WISE,2024-03-18,24.56,2024-08-05,40.669,2024-12-26,39.77,2024-12-27
EVC,2024-04-28,1.73,2024-08-14,2.73,2024-12-18,2.46,2024-12-19
GLGI,2024-04-28,0.99000001,2024-05-15,1.86,2024-08-29,1.57,2024-08-30
IAUX,2024-04-28,1.14,2024-05-14,1.44,2024-05-20,1.22,2024-05-21
LAC,2024-04-28,2.02,2024-08-05,5.2,2024-10-29,4.11,2024-10-30
NAT,2024-04-28,3.85,2024-05-01,4.4,2024-05-21,4.28,2024-05-22
NGD,2024-05-15,1.8,2024-05-15,3.25,2024-09-25,3.11,2024-09-26
MULN,2024-11-14,220.8,2024-11-14,220.8,2024-11-14,152.4,2024-11-15
TMC,2024-05-15,1.27,2024-07-02,1.62,2024-07-08,1.49,2024-07-09
TLRY,2024-05-15,2.03,2024-05-15,2.23,2024-05-16,1.98,2024-05-17
CRON,2024-06-17,2.21,2024-07-05,2.54,2024-07-23,2.37,2024-07-24
ENTX,2024-06-17,1.41,2024-08-05,2.45,2024-12-10,2.24,2024-12-11
BLDE,2024-06-17,2.6,2024-08-05,5.17,2024-11-29,4.46,2024-12-02
ADIL,2024-07-25,0.89999998,2024-08-05,1.3,2024-12-04,1.15,2024-12-05
APDN,2024-08-20,57.0,2024-08-21,177.0,2024-08-23,110.00,2024-08-26
GTEC,2024-08-20,1.86,2024-08-29,2.937,2024-09-13,2.77,2024-09-16
ZCAR,2024-08-20,284.0,2024-08-22,340.0,2024-08-23,315.00,2024-08-26
SMSI,2024-09-18,0.66000003,2024-12-05,1.67,2024-12-27,1.39,2024-12-30
DTSS,2024-09-18,1.9,2024-09-24,3.0,2024-11-19,2.52,2024-11-20
IMRX,2024-09-18,2.275,2024-09-19,3.51,2024-09-20,2.87,2024-09-21
TVGN,2024-10-15,0.86000001,2024-10-15,3.09,2024-10-25,2.74,2024-10-28
RANI,2024-10-15,1.30,2024-12-19,1.84,2025-02-14,1.73,2025-02-15
CERO,2024-11-14,18.0,2024-11-14,44.8,2024-11-15,23.97,2024-11-18
OPTX,2024-12-19,1.86,2024-12-20,4.51,2024-12-27,2.52,2024-12-31
SIDU,2024-12-19,3.885,2024-12-20,6.75,2024-12-31,3.05,2025-01-02
TNXP,2024-12-19,40.30,2024-12-19,72.0,2024-12-19,54.30,2024-12-20
GRUSF,2024-01-27,0.30000001,2024-01-31,0.89999998,2024-04-30,0.70999998,2024-05-01
MDXXF,2024-01-27,0.12,2024-01-31,0.34999999,2024-02-05,0.235,2024-02-06
APEUF,2024-01-27,0.85000002,2024-02-06,1.23,2024-04-22,1.2,2024-04-23
LEXTF,2024-02-26,0.23,2024-03-28,1.217,2024-06-20,0.69099998,2024-06-21
OILFF,2024-04-18,0.076499999,2024-05-14,0.12,2024-05-29,0.094300002,2024-05-30
WHLR,2024-04-18,1058.40002,2024-06-11,3038.3999,2024-06-13,2016.0,2024-06-14
BIRMF,2024-04-18,1.15,2024-04-18,2.35,2024-12-26,2.32,2024-12-27
KULR,2024-05-16,0.2,2024-08-13,5.49,2024-12-27,3.55,2024-12-30
JAGX,2024-05-16,86.25,2024-06-03,104.50,2024-06-22,40.50,2024-06-23
MUSLF,2024-05-16,0.1855,2024-05-16,0.205,2024-05-17,0.01923,2024-05-20
NYWKF,2024-06-6,0.56760001,2024-07-26,1.53,2024-09-03,1.39,2024-09-04
CAF,2024-06-6,11.0,2024-08-05,16.11,2024-10-07,14.31,2024-10-08
RAMP,2024-07-4,30.91,2024-07-10,33.47,2024-07-16,32.16,2024-07-17
MYRUF,2024-07-4,0.1724,2024-07-08,0.47915,2024-10-21,0.39750001,2024-10-22
E,2024-08-8,30.91,2024-08-08,33.12,2024-08-26,32.75,2024-08-27
NCI,2024-08-8,0.38999999,2024-09-05,1.8,2024-10-21,0.884,2024-10-22
